GermanName,EnglishName,PictureName
Bachletten,Bachletten,neighbourhood_pic01.jpg
Gotthelf,Gotthelf,neighbourhood_pic02.jpg
Iselin,Iselin,neighbourhood_pic03.jpg
St. Johann,St. Johann,neighbourhood_pic04.jpg
Klybeck,Klybeck,neighbourhood_pic05.jpg
Kleinhueningen,Kleinhueningen,neighbourhood_pic06.jpg
Hirzbrunnen,Hirzbrunnen,neighbourhood_pic07.jpg
Breite,Breite,neighbourhood_pic08.jpg
St. Alban,St. Alban,neighbourhood_pic09.jpg
Bruderholz,Bruderholz,neighbourhood_pic10.jpg
Gundeldingen,Gundeldingen,neighbourhood_pic11.jpg
Am Ring,Am Ring,neighbourhood_pic12.jpg
Vorstadte,Vorstadte,neighbourhood_pic13.jpg
Matthaeus,Matthaeus,neighbourhood_pic14.jpg
Rosental,Rosental,neighbourhood_pic15.jpg
Wettstein,Wettstein,neighbourhood_pic16.jpg
Clara,Clara,neighbourhood_pic17.jpg
Grossbasler Innenstadt,Grossbasler Innenstadt,neighbourhood_pic18.jpg
Kleinbasler Altstadt,Kleinbasler Altstadt,neighbourhood_pic19.jpg
